#  DisGeNET, a discovery platform for human diseases and their genes - http://disgenet.org/
#   Copyright 2010-2016 
#  
# Use is subject to the terms at http://www.disgenet.org/ds/DisGeNET/html/legal.html
# These terms include:
# 
#   1. The DisGeNET database and Knowledge discovery platform are provided to advance 
#       the knowledge about human diseases and their associated genes, 
#       and are intended to be used only for research and education. 
#
#   2. All forms of publication (e.g., web sites, research papers, databases,
#       software applications, etc.) that use or rely on DisGeNET data must cite DisGeNET.
#       Citation guidelines: http://www.disgenet.org/ds/DisGeNET/html/citation.html
# 
# 
# More information at: http://www.disgenet.org/web/DisGeNET/menu/downloads
# 
# This file corresponds to DisGeNET v4.0 (created on Jun 27 2016)
#
# If you have any further questions, please email us at support@disgenet.org 
diseaseId	diseaseName	meshId	meshName
umls:C0003857	Congenital arteriovenous malformation	D001165	Arteriovenous Malformations
umls:C0003860	Arteritis	D001167	Arteritis
umls:C0003862	Arthralgia	D018771	Arthralgia
umls:C0003864	Arthritis	D001168	Arthritis
umls:C0003865	Arthritis, Adjuvant-Induced	D001169	Arthritis, Experimental
umls:C0003868	Arthritis, Gouty	D015210	Arthritis, Gouty
umls:C0003869	Arthritis, Infectious	D001170	Arthritis, Infectious
umls:C0003872	Arthritis, Psoriatic	D015535	Arthritis, Psoriatic
umls:C0003873	Rheumatoid Arthritis	D001172	Arthritis, Rheumatoid
umls:C0003875	Arthritis, Viral	D001170	Arthritis, Infectious
umls:C0003886	Arthrogryposis	D001176	Arthrogryposis
umls:C0003907	Arthus Reaction	D001183	Arthus Reaction
umls:C0003910	Articulation Disorders	D001184	Articulation Disorders
umls:C0003944	As If Personality	D010554	Personality Disorders
umls:C0003949	Asbestosis	D001195	Asbestosis
umls:C0003950	Ascariasis	D001196	Ascariasis
umls:C0003962	Ascites	D001201	Ascites
umls:C0003969	Ascorbic Acid Deficiency	D001206	Ascorbic Acid Deficiency
umls:C0004030	Aspergillosis	D001228	Aspergillosis
umls:C0004031	Aspergillosis, Allergic Bronchopulmonary	D001229	Aspergillosis, Allergic Bronchopulmonary
umls:C0004044	Asphyxia	D001237	Asphyxia
umls:C0004045	Asphyxia Neonatorum	D001238	Asphyxia Neonatorum
umls:C0004093	Asthenia	D001247	Asthenia
umls:C0004096	Asthma	D001249	Asthma
umls:C0004099	Asthma, Exercise-Induced	D001250	Asthma, Exercise-Induced
umls:C0004106	Astigmatism	D001251	Astigmatism
umls:C0004114	Astrocytoma	D001254	Astrocytoma
umls:C0004134	Ataxia	D001259	Ataxia
umls:C0004135	Ataxia Telangiectasia	D001260	Ataxia Telangiectasia
umls:C0004138	Ataxias, Hereditary	D013132	Spinocerebellar Degenerations
umls:C0004153	Atherosclerosis	D050197	Atherosclerosis
umls:C0004158	Athetosis	D001264	Athetosis
umls:C0004238	Atrial Fibrillation	D001281	Atrial Fibrillation
umls:C0004245	Atrioventricular Block	D054537	Atrioventricular Block
umls:C0004277	Tooth Attrition	D019217	Tooth Attrition
umls:C0004310	Auditory Perceptual Disorders	D001308	Auditory Perceptual Disorders
umls:C0004352	Autistic Disorder	D001321	Autistic Disorder
umls:C0004364	Autoimmune Diseases	D001327	Autoimmune Diseases
umls:C0004366	Autoimmune Response	D015551	Autoimmunity
umls:C0004368	Autoimmune state	D015551	Autoimmunity
umls:C0004426	Sarcoma, Avian	D001357	Sarcoma, Avian
umls:C0004444	Avoidant Personality Disorder	D010554	Personality Disorders
umls:C0004509	Azoospermia	D053713	Azoospermia
umls:C0004565	Melanoma, B16	D008546	Melanoma, Experimental
umls:C0004604	Back Pain	D001416	Back Pain
umls:C0004610	Bacteremia	D016470	Bacteremia
umls:C0004623	Bacterial Infections	D001424	Bacterial Infections
umls:C0004626	Pneumonia, Bacterial	D018410	Pneumonia, Bacterial
umls:C0004659	Bacteriuria	D001437	Bacteriuria
umls:C0004669	Bacteroides Infections	D001442	Bacteroides Infections
umls:C0004698	Balkan Nephropathy	D001449	Balkan Nephropathy
umls:C0004712	Balo's Concentric Sclerosis	D002549	Diffuse Cerebral Sclerosis of Schilder
umls:C0004763	Barrett Esophagus	D001471	Barrett Esophagus
umls:C0004771	Bartonella Infections	D001474	Bartonella Infections
umls:C0004775	Bartter Disease	D001477	Bartter Syndrome
umls:C0004779	Basal Cell Nevus Syndrome	D001478	Basal Cell Nevus Syndrome
umls:C0004782	Basal Ganglia Diseases	D001480	Basal Ganglia Diseases
umls:C0004903	Beckwith-Wiedemann Syndrome	D001506	Beckwith-Wiedemann Syndrome
umls:C0004930	Behavior Disorders	D001523	Mental Disorders
umls:C0004936	Mental disorders	D001523	Mental Disorders
umls:C0004943	Behcet Syndrome	D001528	Behcet Syndrome
umls:C0005001	Benign prostatic hypertrophy	D011470	Prostatic Hyperplasia
umls:C0005129	Bernard-Soulier Syndrome	D001606	Bernard-Soulier Syndrome
umls:C0005138	Berylliosis	D001607	Berylliosis
umls:C0005283	beta Thalassemia	D017086	beta-Thalassemia
umls:C0005395	Bile Duct Diseases	D001649	Bile Duct Diseases
umls:C0005396	Bile Duct Neoplasms	D001650	Bile Duct Neoplasms
umls:C0005398	Cholestasis, Extrahepatic	D001651	Cholestasis, Extrahepatic
umls:C0005403	Bile Reflux	D001655	Bile Reflux
umls:C0005411	Biliary Atresia	D001656	Biliary Atresia
umls:C0005424	Biliary Tract Diseases	D001660	Biliary Tract Diseases
umls:C0005426	Biliary Tract Neoplasm	D001661	Biliary Tract Neoplasms
umls:C0005586	Bipolar Disorder	D001714	Bipolar Disorder
umls:C0005587	Depression, Bipolar	D001714	Bipolar Disorder
umls:C0005592	Bird Fancier's Lung	D001716	Bird Fancier's Lung
umls:C0005612	Birth Weight	D001724	Birth Weight
umls:C0005683	Urinary Bladder Calculi (disorder)	D001744	Urinary Bladder Calculi
umls:C0005684	Malignant neoplasm of urinary bladder	D001749	Urinary Bladder Neoplasms
umls:C0005686	Urinary Bladder Diseases	D001745	Urinary Bladder Diseases
umls:C0005689	Bladder Exstrophy	D001746	Bladder Exstrophy
umls:C0005694	Bladder neck obstruction	D001748	Urinary Bladder Neck Obstruction
umls:C0005695	Bladder Neoplasm	D001749	Urinary Bladder Neoplasms
umls:C0005697	Neurogenic Urinary Bladder	D001750	Urinary Bladder, Neurogenic
umls:C0005699	Blast Phase	D001752	Blast Crisis
umls:C0005716	Blastomycosis	D001759	Blastomycosis
umls:C0005741	Blepharitis	D001762	Blepharitis
umls:C0005744	Blepharophimosis	D016569	Blepharophimosis
umls:C0005745	Blepharoptosis	D001763	Blepharoptosis
umls:C0005747	Blepharospasm	D001764	Blepharospasm
umls:C0005750	Blind Loop Syndrome	D001765	Blind Loop Syndrome
umls:C0005758	Bulla	D001768	Blister
umls:C0005779	Blood Coagulation Disorders	D001778	Blood Coagulation Disorders
umls:C0005806	Blood Group Incompatibility	D001787	Blood Group Incompatibility
umls:C0005818	Blood Platelet Disorders	D001791	Blood Platelet Disorders
umls:C0005859	Bloom Syndrome	D001816	Bloom Syndrome
umls:C0005866	Bluetongue	D001819	Bluetongue
umls:C0005874	Blushing	D001821	Blushing
umls:C0005904	Body Temperature Changes	D001832	Body Temperature Changes
umls:C0005910	Body Weight	D001835	Body Weight
umls:C0005911	Body Weight Changes	D001836	Body Weight Changes
umls:C0005937	Bone Cysts	D001845	Bone Cysts
umls:C0005940	Bone Diseases	D001847	Bone Diseases
umls:C0005941	Bone Diseases, Developmental	D001848	Bone Diseases, Developmental
umls:C0005942	Bone Diseases, Endocrine	D001849	Bone Diseases, Endocrine
umls:C0005944	Metabolic Bone Disorder	D001851	Bone Diseases, Metabolic
umls:C0005956	Bone Marrow Diseases	D001855	Bone Marrow Diseases
umls:C0005967	Bone neoplasms	D001859	Bone Neoplasms
umls:C0005974	Bone Resorption	D001862	Bone Resorption
umls:C0006012	Borderline Personality Disorder	D001883	Borderline Personality Disorder
umls:C0006023	Borna Disease	D001890	Borna Disease
umls:C0006060	Boutonneuse Fever	D001907	Boutonneuse Fever
umls:C0006079	Bowen's Disease	D001913	Bowen's Disease
umls:C0006105	Brain Abscess	D001922	Brain Abscess
umls:C0006109	Brain Damage, Chronic	D001925	Brain Damage, Chronic
umls:C0006110	Brain Death	D001926	Brain Death
umls:C0006111	Brain Diseases	D001927	Brain Diseases
umls:C0006112	Brain Diseases, Metabolic	D001928	Brain Diseases, Metabolic
umls:C0006118	Brain Neoplasms	D001932	Brain Neoplasms
umls:C0006131	Branchioma	D001935	Branchioma
umls:C0006142	Malignant neoplasm of breast	D001943	Breast Neoplasms
umls:C0006144	Breast Cyst	D047688	Breast Cyst
umls:C0006145	Breast Diseases	D001941	Breast Diseases
umls:C0006160	Brenner Tumor	D001948	Brenner Tumor
umls:C0006261	Bronchial Diseases	D001982	Bronchial Diseases
umls:C0006262	Bronchial Fistula	D001983	Bronchial Fistula
umls:C0006264	Bronchial Neoplasms	D001984	Bronchial Neoplasms
umls:C0006266	Bronchial Spasm	D001986	Bronchial Spasm
umls:C0006267	Bronchiectasis	D001987	Bronchiectasis
umls:C0006271	Bronchiolitis	D001988	Bronchiolitis
umls:C0006272	Bronchiolitis Obliterans	D001989	Bronchiolitis Obliterans
umls:C0006274	Bronchiolitis, Viral	D001990	Bronchiolitis, Viral
umls:C0006277	Bronchitis	D001991	Bronchitis
umls:C0006285	Bronchopneumonia	D001996	Bronchopneumonia
umls:C0006287	Bronchopulmonary Dysplasia	D001997	Bronchopulmonary Dysplasia
umls:C0006309	Brucellosis	D002006	Brucellosis
umls:C0006370	Bulimia	D002032	Bulimia
umls:C0006386	Bunion	D006215	Hallux Valgus
umls:C0006413	Burkitt Lymphoma	D002051	Burkitt Lymphoma
umls:C0006430	Burning Mouth Syndrome	D002054	Burning Mouth Syndrome
umls:C0006444	Bursitis	D002062	Bursitis
umls:C0006542	Byssinosis	D002095	Byssinosis
umls:C0006625	Cachexia	D002100	Cachexia
umls:C0006635	Cadmium poisoning	D002105	Cadmium Poisoning
umls:C0006663	Calcinosis	D002114	Calcinosis
umls:C0006705	Calcium Metabolism Disorders	D002128	Calcium Metabolism Disorders
umls:C0006818	Campylobacter infection	D002169	Campylobacter Infections
umls:C0006840	Candidiasis	D002177	Candidiasis
umls:C0006845	Candidiasis, Chronic Mucocutaneous	D002178	Candidiasis, Chronic Mucocutaneous
umls:C0006846	Cutaneous Candidiasis	D002179	Candidiasis, Cutaneous
umls:C0006849	Oral candidiasis	D002180	Candidiasis, Oral
umls:C0006852	Candidiasis of vagina	D002181	Candidiasis, Vulvovaginal
umls:C0006868	Cannabis Abuse	D002189	Marijuana Abuse
umls:C0006870	Cannabis Dependence	D002189	Marijuana Abuse
umls:C0007001	Carbohydrate Metabolism, Inborn Errors	D002239	Carbohydrate Metabolism, Inborn Errors
umls:C0007020	Carbon Monoxide Poisoning	D002249	Carbon Monoxide Poisoning
umls:C0007095	Carcinoid Tumor	D002276	Carcinoid Tumor
umls:C0007102	Malignant tumor of colon	D003110	Colonic Neoplasms
umls:C0007107	Malignant neoplasm of larynx	D007822	Laryngeal Neoplasms
umls:C0007113	Rectal Carcinoma	D012004	Rectal Neoplasms
umls:C0007114	Malignant neoplasm of skin	D012878	Skin Neoplasms
umls:C0007117	Basal cell carcinoma	D002280	Carcinoma, Basal Cell
umls:C0007118	Carcinoma, Basosquamous	D002281	Carcinoma, Basosquamous
umls:C0007120	Bronchioloalveolar Adenocarcinoma	D002282	Adenocarcinoma, Bronchiolo-Alveolar
umls:C0007121	Bronchogenic Carcinoma	D002283	Carcinoma, Bronchogenic
umls:C0007124	Noninfiltrating Intraductal Carcinoma	D002285	Carcinoma, Intraductal, Noninfiltrating
umls:C0007125	Carcinoma, Ehrlich Tumor	D002286	Carcinoma, Ehrlich Tumor
umls:C0007129	Merkel cell carcinoma	D015266	Carcinoma, Merkel Cell
umls:C0007130	Mucinous Adenocarcinoma	D002288	Adenocarcinoma, Mucinous
umls:C0007131	Non-Small Cell Lung Carcinoma	D002289	Carcinoma, Non-Small-Cell Lung
umls:C0007133	Carcinoma, Papillary	D002291	Carcinoma, Papillary
umls:C0007134	Renal Cell Carcinoma	D002292	Carcinoma, Renal Cell
umls:C0007135	Adenocarcinoma, Scirrhous	D002293	Adenocarcinoma, Scirrhous
umls:C0007137	Squamous cell carcinoma	D002294	Carcinoma, Squamous Cell
umls:C0007138	Carcinoma, Transitional Cell	D002295	Carcinoma, Transitional Cell
umls:C0007140	Carcinosarcoma	D002296	Carcinosarcoma
umls:C0007166	Low Cardiac Output	D002303	Cardiac Output, Low
umls:C0007177	Cardiac Tamponade	D002305	Cardiac Tamponade
umls:C0007192	Cardiomyopathy, Alcoholic	D002310	Cardiomyopathy, Alcoholic
umls:C0007193	Cardiomyopathy, Dilated	D002311	Cardiomyopathy, Dilated
umls:C0007194	Hypertrophic Cardiomyopathy	D002312	Cardiomyopathy, Hypertrophic
umls:C0007196	Restrictive cardiomyopathy	D002313	Cardiomyopathy, Restrictive
umls:C0007222	Cardiovascular Diseases	D002318	Cardiovascular Diseases
umls:C0007273	Carotid Artery Diseases	D002340	Carotid Artery Diseases
umls:C0007274	Carotid Artery Thrombosis	D002341	Carotid Artery Thrombosis
umls:C0007279	Carotid Body Paraganglioma	D002345	Carotid Body Tumor
umls:C0007282	Carotid Stenosis	D016893	Carotid Stenosis
umls:C0007286	Carpal Tunnel Syndrome	D002349	Carpal Tunnel Syndrome
umls:C0007302	Cartilage Diseases	D002357	Cartilage Diseases
umls:C0007361	Cat-Scratch Disease	D002372	Cat-Scratch Disease
umls:C0007370	Catalepsy	D002375	Catalepsy
umls:C0007384	Cataplexy	D002385	Cataplexy
umls:C0007398	Catatonia	D002389	Catatonia
umls:C0007528	Cecal Neoplasms	D002430	Cecal Neoplasms
umls:C0007570	Celiac Disease	D002446	Celiac Disease
umls:C0007621	Neoplastic Cell Transformation	D002471	Cell Transformation, Neoplastic
umls:C0007642	Cellulitis	D002481	Cellulitis
umls:C0007682	CNS disorder	D002493	Central Nervous System Diseases
umls:C0007684	Central Nervous System Infection	D002494	Central Nervous System Infections
umls:C0007688	Central Retinal Artery Occlusion	D015356	Retinal Artery Occlusion
umls:C0007758	Cerebellar Ataxia	D002524	Cerebellar Ataxia
umls:C0007760	Cerebellar Diseases	D002526	Cerebellar Diseases
umls:C0007761	Myoclonic Cerebellar Dyssynergia	D002527	Myoclonic Cerebellar Dyssynergia
umls:C0007762	Cerebellar Neoplasms	D002528	Cerebellar Neoplasms
umls:C0007766	Intracranial Aneurysm	D002532	Intracranial Aneurysm
umls:C0007771	Intracranial Arteriosclerosis	D002537	Intracranial Arteriosclerosis
umls:C0007772	Intracranial Arteriovenous Malformation	D002538	Intracranial Arteriovenous Malformations
umls:C0007774	Cerebral Arterial Diseases	D002539	Cerebral Arterial Diseases
umls:C0007775	Cerebral Atherosclerosis	D002537	Intracranial Arteriosclerosis
umls:C0007780	Cerebral Embolism	D020766	Intracranial Embolism
umls:C0007781	Intracranial Embolism and Thrombosis	D002542	Intracranial Embolism and Thrombosis
umls:C0007785	Cerebral Infarction	D002544	Cerebral Infarction
umls:C0007786	Brain Ischemia	D002545	Brain Ischemia
umls:C0007787	Transient Ischemic Attack	D002546	Ischemic Attack, Transient
umls:C0007789	Cerebral Palsy	D002547	Cerebral Palsy
